Date,Gamecode,Odd,Profit,Colour,Net-profit
Sun Feb  5 17:52:16 2023,1675608730,1.08,2915.9,red,-101906.86
Sun Feb  5 17:52:46 2023,1675608742,3.27,2630.02,green,-99276.84
Sun Feb  5 17:53:00 2023,1675608773,1.21,3004.47,red,-96272.37
Sun Feb  5 17:53:41 2023,1675608787,6.07,-352.8,green,-96625.17
Sun Feb  5 17:54:09 2023,1675608827,2.62,1803.34,green,-94821.83
Sun Feb  5 17:54:30 2023,1675608854,2.00,964.0,green,-93857.83
Sun Feb  5 17:54:47 2023,1675608877,1.44,863.75,red,-92994.08
Sun Feb  5 17:55:14 2023,1675608894,2.59,845.7,green,-92148.38
Sun Feb  5 17:55:31 2023,1675608920,1.38,2206.7,red,-89941.68
Sun Feb  5 17:56:04 2023,1675608936,3.94,13.1,green,-89928.58
Sun Feb  5 17:56:16 2023,1675608970,1.05,2673.4,red,-87255.18
Sun Feb  5 17:56:32 2023,1675608982,1.44,2510.3,red,-84744.88
Sun Feb  5 17:57:13 2023,1675608998,6.09,452.64,green,-84292.24
Sun Feb  5 17:57:27 2023,1675609039,1.22,4334.0,red,-79958.24
Sun Feb  5 17:57:45 2023,1675609053,1.57,3998.0,red,-75960.24
Sun Feb  5 17:58:00 2023,1675609072,1.29,948.7,red,-75011.54
Sun Feb  5 17:58:38 2023,1675609087,4.99,232.9,green,-74778.64
Sun Feb  5 17:59:00 2023,1675609124,1.99,732.4,red,-74046.24
Sun Feb  5 17:59:49 2023,1675609147,9.82,-21400.96,purple,-95447.2
Sun Feb  5 18:00:04 2023,1675609195,1.21,5623.46,red,-89823.74
Sun Feb  5 18:00:40 2023,1675609209,4.80,-3111.6,green,-92935.34
Sun Feb  5 18:01:05 2023,1675609246,2.30,-2175.9,green,-95111.24
Sun Feb  5 18:01:21 2023,1675609271,1.37,4403.73,red,-90707.51
Sun Feb  5 18:01:36 2023,1675609287,1.32,4331.69,red,-86375.82
Sun Feb  5 18:01:48 2023,1675609302,1.06,4764.78,red,-81611.04
Sun Feb  5 18:02:21 2023,1675609314,3.89,-775.8,green,-82386.84
Sun Feb  5 18:02:35 2023,1675609348,1.18,4390.0,red,-77996.84
Sun Feb  5 18:02:54 2023,1675609361,1.61,1056.4,red,-76940.44
Sun Feb  5 18:03:17 2023,1675609380,2.14,2436.1,green,-74504.34
Sun Feb  5 18:03:39 2023,1675609403,1.92,589.9,red,-73914.44
Sun Feb  5 18:04:12 2023,1675609425,3.76,541.6,green,-73372.84
Sun Feb  5 18:04:40 2023,1675609458,2.89,-875.33,green,-74248.17
Sun Feb  5 18:04:58 2023,1675609486,1.48,2788.5,red,-71459.67
Sun Feb  5 18:05:26 2023,1675609504,3.01,732.86,green,-70726.81
Sun Feb  5 18:05:47 2023,1675609533,1.78,2160.0,red,-68566.81
Sun Feb  5 18:06:03 2023,1675609553,1.38,2239.3,red,-66327.51
Sun Feb  5 18:06:23 2023,1675609569,1.78,1226.44,red,-65101.07
Sun Feb  5 18:07:24 2023,1675609590,20.00,-6334.6,purple,-71435.67
Sun Feb  5 18:08:09 2023,1675609650,7.71,-2187.03,green,-73622.7
Sun Feb  5 18:08:33 2023,1675609695,2.32,650.0,green,-72972.7
Sun Feb  5 18:09:05 2023,1675609720,3.39,613.3,green,-72359.4
Sun Feb  5 18:09:40 2023,1675609751,4.47,-1406.5,green,-73765.9
Sun Feb  5 18:10:28 2023,1675609787,8.73,-6109.59,purple,-79875.49
Sun Feb  5 18:10:41 2023,1675609834,1.22,1690.09,red,-78185.4
Sun Feb  5 18:10:54 2023,1675609848,1.13,1659.2,red,-76526.2
Sun Feb  5 18:11:18 2023,1675609861,1.99,1639.2,red,-74887.0
Sun Feb  5 18:11:32 2023,1675609883,1.32,1212.5,red,-73674.5
Sun Feb  5 18:11:43 2023,1675609898,1.00,1940.2,red,-71734.3
Sun Feb  5 18:12:21 2023,1675609909,5.17,-697.5,green,-72431.8
Sun Feb  5 18:13:14 2023,1675609947,12.93,-9242.15,purple,-81673.95
Sun Feb  5 18:13:36 2023,1675610001,1.90,1339.32,red,-80334.63
Sun Feb  5 18:13:47 2023,1675610022,1.06,1160.2,red,-79174.43
Sun Feb  5 18:14:05 2023,1675610034,1.45,1186.0,red,-77988.43
Sun Feb  5 18:14:33 2023,1675610051,2.82,191.51,green,-77796.92
Sun Feb  5 18:15:02 2023,1675610079,2.96,82.24,green,-77714.68
Sun Feb  5 18:16:03 2023,1675610108,20.90,-6153.9,purple,-83868.58
Sun Feb  5 18:16:26 2023,1675610169,2.03,2717.4,green,-81151.18
Sun Feb  5 18:16:45 2023,1675610192,1.70,2911.74,red,-78239.44
Sun Feb  5 18:17:00 2023,1675610211,1.29,2882.24,red,-75357.2
Sun Feb  5 18:18:05 2023,1675610226,25.42,-7386.47,purple,-82743.67
Sun Feb  5 18:18:33 2023,1675610291,2.90,1183.97,green,-81559.7
Sun Feb  5 18:19:17 2023,1675610320,6.98,-228.72,green,-81788.42
Sun Feb  5 18:19:49 2023,1675610363,3.58,-170.76,green,-81959.18
Sun Feb  5 18:20:08 2023,1675610395,1.65,2024.86,red,-79934.32
Sun Feb  5 18:20:21 2023,1675610414,1.08,1781.0,red,-78153.32
Sun Feb  5 18:20:45 2023,1675610426,2.38,1635.3,green,-76518.02
Sun Feb  5 18:20:57 2023,1675610451,1.09,1890.38,red,-74627.64
Sun Feb  5 18:21:20 2023,1675610464,2.10,803.1,green,-73824.54
Sun Feb  5 18:22:04 2023,1675610487,6.78,-1836.63,green,-75661.17
Sun Feb  5 18:22:50 2023,1675610529,8.35,-4246.02,purple,-79907.19
Sun Feb  5 18:24:16 2023,1675610576,91.61,-6055.43,purple,-85962.62
Sun Feb  5 18:25:11 2023,1675610662,14.14,-8429.55,purple,-94392.17
Sun Feb  5 18:25:38 2023,1675610717,2.73,1090.41,green,-93301.76
Sun Feb  5 18:25:53 2023,1675610744,1.31,1851.1,red,-91450.66
Sun Feb  5 18:26:07 2023,1675610759,1.10,1692.0,red,-89758.66
Sun Feb  5 18:26:18 2023,1675610772,1.11,2120.0,red,-87638.66
Sun Feb  5 18:26:41 2023,1675610784,2.05,2164.6,green,-85474.06
Sun Feb  5 18:27:19 2023,1675610807,5.01,-1053.83,green,-86527.89
Sun Feb  5 18:27:36 2023,1675610845,1.49,1963.13,red,-84564.76
Sun Feb  5 18:28:01 2023,1675610862,2.38,1688.29,green,-82876.47
Sun Feb  5 18:28:36 2023,1675610887,4.24,-2091.3,green,-84967.77
Sun Feb  5 18:29:01 2023,1675610922,2.43,84.85,green,-84882.92
Sun Feb  5 18:29:34 2023,1675610948,3.66,-503.09,green,-85386.01
Sun Feb  5 18:29:54 2023,1675610980,1.73,1800.7,red,-83585.31
Sun Feb  5 18:30:30 2023,1675611000,4.63,-1265.6,green,-84850.91
Sun Feb  5 18:30:51 2023,1675611037,1.80,2243.0,red,-82607.91
Sun Feb  5 18:31:04 2023,1675611057,1.18,2361.7,red,-80246.21
Sun Feb  5 18:31:47 2023,1675611071,6.71,-1388.06,green,-81634.27
Sun Feb  5 18:32:04 2023,1675611113,1.49,3434.3,red,-78199.97
Sun Feb  5 18:32:43 2023,1675611131,5.23,-2162.0,green,-80361.97
Sun Feb  5 18:32:58 2023,1675611169,1.28,2303.0,red,-78058.97
Sun Feb  5 18:33:32 2023,1675611184,4.07,-734.8,green,-78793.77
Sun Feb  5 18:34:04 2023,1675611218,3.52,-240.15,green,-79033.92
Sun Feb  5 18:34:37 2023,1675611250,3.75,-1453.66,green,-80487.58
Sun Feb  5 18:35:04 2023,1675611283,2.78,1582.03,green,-78905.55
Sun Feb  5 18:35:25 2023,1675611310,1.78,2402.64,red,-76502.91
Sun Feb  5 18:35:46 2023,1675611331,1.83,2977.5,red,-73525.41
Sun Feb  5 18:36:09 2023,1675611352,2.23,2731.05,green,-70794.36
Sun Feb  5 18:36:21 2023,1675611376,1.01,4228.0,red,-66566.36
Sun Feb  5 18:36:42 2023,1675611387,1.89,5001.2,red,-61565.16
Sun Feb  5 18:37:00 2023,1675611408,1.51,5022.0,red,-56543.16
Sun Feb  5 18:37:34 2023,1675611426,4.08,-914.95,green,-57458.11
Sun Feb  5 18:37:56 2023,1675611460,1.97,4369.71,red,-53088.4
Sun Feb  5 18:38:26 2023,1675611482,3.11,-659.95,green,-53748.35
Sun Feb  5 18:39:08 2023,1675611512,6.72,-4979.24,green,-58727.59
Sun Feb  5 18:39:19 2023,1675611554,1.01,5220.35,red,-53507.24
Sun Feb  5 18:39:43 2023,1675611565,2.22,1657.9,green,-51849.34
Sun Feb  5 18:40:00 2023,1675611589,1.43,4925.5,red,-46923.84
Sun Feb  5 18:40:47 2023,1675611606,8.76,-3219.5,purple,-50143.34
Sun Feb  5 18:40:59 2023,1675611653,1.10,3665.0,red,-46478.34
Sun Feb  5 18:42:39 2023,1675611666,207.17,-9962.7,purple,-56441.04
Sun Feb  5 18:43:08 2023,1675611765,2.99,305.51,green,-56135.53
Sun Feb  5 18:43:23 2023,1675611794,1.27,3795.1,red,-52340.43
Sun Feb  5 18:43:34 2023,1675611809,1.00,2726.07,red,-49614.36
Sun Feb  5 18:43:55 2023,1675611820,1.84,1630.4,red,-47983.96
Sun Feb  5 18:44:13 2023,1675611841,1.52,2018.2,red,-45965.76
Sun Feb  5 18:44:51 2023,1675611859,5.38,-4158.26,green,-50124.02
Sun Feb  5 18:45:04 2023,1675611897,1.11,2462.38,red,-47661.64
Sun Feb  5 18:46:04 2023,1675611910,19.02,-10023.53,purple,-57685.17
Sun Feb  5 18:47:09 2023,1675611970,26.68,-10460.54,purple,-68145.71
Sun Feb  5 18:47:34 2023,1675612035,2.31,2286.16,green,-65859.55
Sun Feb  5 18:47:57 2023,1675612060,2.09,2178.36,green,-63681.19
Sun Feb  5 18:48:09 2023,1675612083,1.13,3032.8,red,-60648.39
Sun Feb  5 18:48:52 2023,1675612096,6.83,-976.1,green,-61624.49
Sun Feb  5 18:49:06 2023,1675612139,1.20,3098.56,red,-58525.93
Sun Feb  5 18:49:40 2023,1675612153,3.87,-212.95,green,-58738.88
Sun Feb  5 18:49:59 2023,1675612186,1.63,1046.36,red,-57692.52
Sun Feb  5 18:50:32 2023,1675612205,3.35,2692.21,green,-55000.31
Sun Feb  5 18:50:58 2023,1675612236,2.63,2941.89,green,-52058.42
Sun Feb  5 18:51:30 2023,1675612263,3.83,-1210.83,green,-53269.25
Sun Feb  5 18:52:21 2023,1675612296,11.14,-7361.8,purple,-60631.05
Sun Feb  5 18:52:37 2023,1675612347,1.36,1756.31,red,-58874.74
Sun Feb  5 18:52:55 2023,1675612363,1.61,1048.77,red,-57825.97
Sun Feb  5 18:53:15 2023,1675612381,1.71,1179.1,red,-56646.87
Sun Feb  5 18:53:51 2023,1675612401,4.36,-528.8,green,-57175.67
Sun Feb  5 18:54:11 2023,1675612437,1.71,1498.6,red,-55677.07
Sun Feb  5 18:54:59 2023,1675612456,10.08,-12028.43,purple,-67705.5
Sun Feb  5 18:55:24 2023,1675612506,2.34,1204.69,green,-66500.81
Sun Feb  5 18:55:39 2023,1675612531,1.27,1791.4,red,-64709.41
Sun Feb  5 18:56:12 2023,1675612545,3.56,785.35,green,-63924.06
Sun Feb  5 18:56:28 2023,1675612577,1.45,2717.0,red,-61207.06
Sun Feb  5 18:57:37 2023,1675612594,32.49,-10169.27,purple,-71376.33
Sun Feb  5 18:58:20 2023,1675612663,6.84,-3382.29,green,-74758.62
Sun Feb  5 18:58:40 2023,1675612706,1.72,1576.24,red,-73182.38
Sun Feb  5 18:58:55 2023,1675612726,1.30,2193.2,red,-70989.18
Sun Feb  5 18:59:07 2023,1675612741,1.10,1962.9,red,-69026.28
Sun Feb  5 18:59:33 2023,1675612753,2.57,-406.7,green,-69432.98
Sun Feb  5 18:59:48 2023,1675612780,1.22,1907.4,red,-67525.58
Sun Feb  5 19:00:05 2023,1675612794,1.50,1762.7,red,-65762.88
Sun Feb  5 19:00:17 2023,1675612811,1.06,1423.0,red,-64339.88
Sun Feb  5 19:00:28 2023,1675612823,1.05,1375.35,red,-62964.53
Sun Feb  5 19:00:48 2023,1675612835,1.66,1099.9,red,-61864.63
Sun Feb  5 19:00:58 2023,1675612854,1.00,1230.0,red,-60634.63
Sun Feb  5 19:01:12 2023,1675612865,1.17,893.0,red,-59741.63
Sun Feb  5 19:01:37 2023,1675612878,2.29,439.32,green,-59302.31
Sun Feb  5 19:01:51 2023,1675612903,1.28,1405.0,red,-57897.31
Sun Feb  5 19:03:02 2023,1675612918,35.07,-3002.39,purple,-60899.7
Sun Feb  5 19:03:14 2023,1675612988,1.11,2876.0,red,-58023.7
Sun Feb  5 19:03:56 2023,1675613000,6.40,-715.7,green,-58739.4
Sun Feb  5 19:04:09 2023,1675613042,1.15,2020.0,red,-56719.4
Sun Feb  5 19:04:34 2023,1675613055,2.38,863.5,green,-55855.9
Sun Feb  5 19:04:47 2023,1675613081,1.16,1770.0,red,-54085.9
Sun Feb  5 19:05:21 2023,1675613094,3.96,237.4,green,-53848.5
Sun Feb  5 19:05:34 2023,1675613128,1.14,655.0,red,-53193.5
Sun Feb  5 19:05:54 2023,1675613141,1.70,1242.9,red,-51950.6
Sun Feb  5 19:07:15 2023,1675613160,69.59,-4763.2,purple,-56713.8
Sun Feb  5 19:08:05 2023,1675613242,10.26,-8808.73,purple,-65522.53
Sun Feb  5 19:08:49 2023,1675613291,7.22,-7088.32,green,-72610.85
Sun Feb  5 19:09:00 2023,1675613335,1.07,2516.0,red,-70094.85
Sun Feb  5 19:09:22 2023,1675613347,1.95,1365.2,red,-68729.65
Sun Feb  5 19:10:11 2023,1675613369,9.50,-3224.66,purple,-71954.31
Sun Feb  5 19:10:33 2023,1675613417,1.97,3029.02,red,-68925.29
Sun Feb  5 19:11:00 2023,1675613439,2.67,2323.36,green,-66601.93
Sun Feb  5 19:11:43 2023,1675613466,6.79,-1586.27,green,-68188.2
Sun Feb  5 19:12:21 2023,1675613509,5.18,-1263.08,green,-69451.28
Sun Feb  5 19:12:43 2023,1675613547,1.94,2621.0,red,-66830.28
Sun Feb  5 19:12:56 2023,1675613569,1.14,2366.4,red,-64463.88
Sun Feb  5 19:13:45 2023,1675613582,10.16,-5581.95,purple,-70045.83
Sun Feb  5 19:14:03 2023,1675613632,1.51,1966.0,red,-68079.83
Sun Feb  5 19:14:21 2023,1675613649,1.53,1935.56,red,-66144.27
Sun Feb  5 19:14:55 2023,1675613667,4.11,1662.96,green,-64481.31
Sun Feb  5 19:15:23 2023,1675613701,2.85,1067.66,green,-63413.65
Sun Feb  5 19:15:48 2023,1675613730,2.32,1036.8,green,-62376.85
Sun Feb  5 19:16:14 2023,1675613755,2.50,484.4,green,-61892.45
Sun Feb  5 19:16:46 2023,1675613781,3.66,-1542.1,green,-63434.55
Sun Feb  5 19:16:58 2023,1675613813,1.06,3160.8,red,-60273.75
Sun Feb  5 19:17:19 2023,1675613825,1.73,2715.0,red,-57558.75
Sun Feb  5 19:17:36 2023,1675613845,1.49,2693.0,red,-54865.75
Sun Feb  5 19:17:48 2023,1675613862,1.08,2995.0,red,-51870.75
Sun Feb  5 19:18:14 2023,1675613874,2.57,-363.74,green,-52234.49
Sun Feb  5 19:18:28 2023,1675613901,1.18,3121.95,red,-49112.54
Sun Feb  5 19:18:39 2023,1675613914,1.03,2740.0,red,-46372.54
Sun Feb  5 19:18:59 2023,1675613926,1.69,2725.0,red,-43647.54
Sun Feb  5 19:19:53 2023,1675613945,13.83,-9814.2,purple,-53461.74
Sun Feb  5 19:20:05 2023,1675614000,1.07,1975.65,red,-51486.09
Sun Feb  5 19:20:31 2023,1675614012,2.49,2843.45,green,-48642.64
Sun Feb  5 19:21:24 2023,1675614037,12.56,-16503.0,purple,-65145.64
Sun Feb  5 19:21:51 2023,1675614090,2.71,1519.0,green,-63626.64
Sun Feb  5 19:22:26 2023,1675614118,3.89,-1987.57,green,-65614.21
Sun Feb  5 19:23:04 2023,1675614151,5.44,-1418.9,green,-67033.11
Sun Feb  5 19:23:22 2023,1675614190,1.52,1543.2,red,-65489.91
Sun Feb  5 19:23:36 2023,1675614208,1.24,1921.04,red,-63568.87
Sun Feb  5 19:24:09 2023,1675614222,3.82,-690.11,green,-64258.98
Sun Feb  5 19:24:49 2023,1675614256,5.60,-978.44,green,-65237.42
Sun Feb  5 19:25:03 2023,1675614295,1.23,2405.65,red,-62831.77
Sun Feb  5 19:25:26 2023,1675614309,2.07,1103.3,green,-61728.47
Sun Feb  5 19:26:01 2023,1675614332,4.23,-933.33,green,-62661.8
Sun Feb  5 19:26:22 2023,1675614367,1.89,2032.78,red,-60629.02
Sun Feb  5 19:26:55 2023,1675614388,3.73,460.7,green,-60168.32
Sun Feb  5 19:27:07 2023,1675614421,1.08,1724.67,red,-58443.65
Sun Feb  5 19:27:26 2023,1675614433,1.64,1507.0,red,-56936.65
Sun Feb  5 19:27:48 2023,1675614452,1.97,1274.9,red,-55661.75
Sun Feb  5 19:28:09 2023,1675614474,1.91,3440.61,red,-52221.14
Sun Feb  5 19:28:44 2023,1675614496,4.28,-2579.5,green,-54800.64
Sun Feb  5 19:28:56 2023,1675614531,1.07,4330.0,red,-50470.64
Sun Feb  5 19:29:16 2023,1675614543,1.70,4290.68,red,-46179.96
Sun Feb  5 19:29:38 2023,1675614563,1.93,3673.18,red,-42506.78
Sun Feb  5 19:30:11 2023,1675614584,3.83,108.68,green,-42398.1
Sun Feb  5 19:30:34 2023,1675614617,2.08,4346.11,green,-38051.99
Sun Feb  5 19:31:17 2023,1675614640,6.88,-7654.45,green,-45706.44
Sun Feb  5 19:31:28 2023,1675614683,1.01,3812.0,red,-41894.44
Sun Feb  5 19:32:14 2023,1675614694,8.30,-3054.62,purple,-44949.06
Sun Feb  5 19:33:13 2023,1675614740,18.20,-8466.77,purple,-53415.83
Sun Feb  5 19:34:00 2023,1675614800,8.68,-8670.59,purple,-62086.42
Sun Feb  5 19:34:15 2023,1675614846,1.30,3160.54,red,-58925.88
Sun Feb  5 19:34:31 2023,1675614862,1.32,2830.86,red,-56095.02
Sun Feb  5 19:34:46 2023,1675614877,1.13,2301.58,red,-53793.44
Sun Feb  5 19:35:01 2023,1675614890,1.36,2509.6,red,-51283.84
Sun Feb  5 19:35:16 2023,1675614906,1.43,2295.64,red,-48988.2
Sun Feb  5 19:35:45 2023,1675614923,2.90,220.3,green,-48767.9
Sun Feb  5 19:36:48 2023,1675614951,23.98,-5131.06,purple,-53898.96
Sun Feb  5 19:36:59 2023,1675615015,1.00,2394.03,red,-51504.93
Sun Feb  5 19:38:05 2023,1675615026,27.39,-9638.65,purple,-61143.58
Sun Feb  5 19:38:33 2023,1675615092,2.88,48.3,green,-61095.28
Sun Feb  5 19:38:50 2023,1675615120,1.45,4263.8,red,-56831.48
Sun Feb  5 19:39:36 2023,1675615137,7.79,-9581.53,green,-66413.01
Sun Feb  5 19:40:18 2023,1675615182,6.40,-3447.74,green,-69860.75
Sun Feb  5 19:41:06 2023,1675615224,9.12,-6188.74,purple,-76049.49
Sun Feb  5 19:41:46 2023,1675615271,5.81,-1949.4,green,-77998.89
Sun Feb  5 19:41:59 2023,1675615311,1.22,1395.62,red,-76603.27
Sun Feb  5 19:42:25 2023,1675615326,2.47,1133.81,green,-75469.46
Sun Feb  5 19:42:51 2023,1675615351,2.41,175.6,green,-75293.86
Sun Feb  5 19:43:05 2023,1675615377,1.23,1706.39,red,-73587.47
Sun Feb  5 19:43:32 2023,1675615391,2.75,636.6,green,-72950.87
Sun Feb  5 19:43:44 2023,1675615419,1.05,2386.95,red,-70563.92
Sun Feb  5 19:44:07 2023,1675615430,2.13,464.92,green,-70099.0
Sun Feb  5 19:45:13 2023,1675615454,26.73,-16596.6,purple,-86695.6
Sun Feb  5 19:45:25 2023,1675615519,1.08,2340.0,red,-84355.6
Sun Feb  5 19:46:24 2023,1675615531,18.53,-8186.75,purple,-92542.35
Sun Feb  5 19:46:39 2023,1675615591,1.23,1859.64,red,-90682.71
Sun Feb  5 19:47:06 2023,1675615605,2.65,1009.1,green,-89673.61
Sun Feb  5 19:47:26 2023,1675615632,1.78,2080.37,red,-87593.24
Sun Feb  5 19:48:01 2023,1675615653,4.16,-906.73,green,-88499.97
Sun Feb  5 19:48:39 2023,1675615687,5.29,-1785.05,green,-90285.02
Sun Feb  5 19:48:51 2023,1675615726,1.06,3475.0,red,-86810.02
Sun Feb  5 19:49:09 2023,1675615737,1.58,3277.0,red,-83533.02
Sun Feb  5 19:50:38 2023,1675615756,107.16,-10771.62,purple,-94304.64
Sun Feb  5 19:50:59 2023,1675615844,1.85,2641.79,red,-91662.85
Sun Feb  5 19:51:10 2023,1675615866,1.00,1891.0,red,-89771.85
Sun Feb  5 19:51:48 2023,1675615876,5.09,-597.64,green,-90369.49
Sun Feb  5 19:52:00 2023,1675615914,1.07,1850.42,red,-88519.07
Sun Feb  5 19:52:12 2023,1675615926,1.13,3481.2,red,-85037.87
Sun Feb  5 19:52:26 2023,1675615939,1.20,3327.31,red,-81710.56
Sun Feb  5 19:53:13 2023,1675615953,8.78,-11736.6,purple,-93447.16
Sun Feb  5 19:53:49 2023,1675616000,4.27,759.7,green,-92687.46
Sun Feb  5 19:54:31 2023,1675616035,6.47,-4527.0,green,-97214.46
Sun Feb  5 19:54:45 2023,1675616077,1.19,2054.1,red,-95160.36
Sun Feb  5 19:54:55 2023,1675616090,1.00,1451.0,red,-93709.36
Sun Feb  5 19:55:32 2023,1675616101,4.85,-1635.7,green,-95345.06
Sun Feb  5 19:56:01 2023,1675616138,3.04,535.25,green,-94809.81
Sun Feb  5 19:57:06 2023,1675616168,23.83,-17278.96,purple,-112088.77
Sun Feb  5 19:57:16 2023,1675616231,1.00,2219.0,red,-109869.77
Sun Feb  5 19:57:48 2023,1675616242,3.54,1105.35,green,-108764.42
Sun Feb  5 19:58:00 2023,1675616274,1.03,2345.5,red,-106418.92
Sun Feb  5 19:58:13 2023,1675616285,1.24,2461.5,red,-103957.42
Sun Feb  5 19:59:19 2023,1675616299,26.37,-9979.82,purple,-113937.24
Sun Feb  5 19:59:30 2023,1675616365,1.02,2086.7,red,-111850.54
Sun Feb  5 20:00:31 2023,1675616376,19.36,-10438.48,purple,-122289.02
Sun Feb  5 20:00:59 2023,1675616436,2.70,665.98,green,-121623.04
Sun Feb  5 20:01:24 2023,1675616463,2.66,1485.94,green,-120137.1
Sun Feb  5 20:01:36 2023,1675616491,1.03,2525.9,red,-117611.2
Sun Feb  5 20:02:17 2023,1675616502,5.65,-3844.8,green,-121456.0
Sun Feb  5 20:02:36 2023,1675616541,1.65,2509.5,red,-118946.5
Sun Feb  5 20:02:48 2023,1675616561,1.13,2577.0,red,-116369.5
Sun Feb  5 20:03:04 2023,1675616573,1.46,2464.5,red,-113905.0
Sun Feb  5 20:03:36 2023,1675616591,3.61,970.1,green,-112934.9
Sun Feb  5 20:03:51 2023,1675616623,1.23,2681.0,red,-110253.9
Sun Feb  5 20:04:27 2023,1675616637,4.53,-702.21,green,-110956.11
Sun Feb  5 20:04:47 2023,1675616673,1.76,3649.5,red,-107306.61
Sun Feb  5 20:04:59 2023,1675616693,1.06,4104.1,red,-103202.51
Sun Feb  5 20:05:13 2023,1675616705,1.21,3347.0,red,-99855.51
Sun Feb  5 20:05:55 2023,1675616719,6.91,-2287.7,green,-102143.21
Sun Feb  5 20:06:11 2023,1675616762,1.33,2240.12,red,-99903.09
Sun Feb  5 20:07:10 2023,1675616778,17.62,-9333.68,purple,-109236.77
Sun Feb  5 20:07:43 2023,1675616836,3.89,1486.98,green,-107749.79
Sun Feb  5 20:08:23 2023,1675616870,5.71,-1069.02,green,-108818.81
Sun Feb  5 20:08:41 2023,1675616909,1.49,2761.64,red,-106057.17
Sun Feb  5 20:08:57 2023,1675616927,1.36,2687.64,red,-103369.53
Sun Feb  5 20:09:09 2023,1675616943,1.07,2718.0,red,-100651.53
Sun Feb  5 20:09:20 2023,1675616955,1.00,2925.0,red,-97726.53
Sun Feb  5 20:09:56 2023,1675616965,4.51,-1008.0,green,-98734.53
Sun Feb  5 20:10:18 2023,1675617001,1.96,1067.9,red,-97666.63
Sun Feb  5 20:10:50 2023,1675617023,3.77,336.0,green,-97330.63
Sun Feb  5 20:11:02 2023,1675617056,1.04,1598.6,red,-95732.03
Sun Feb  5 20:11:13 2023,1675617068,1.08,1270.0,red,-94462.03
Sun Feb  5 20:11:46 2023,1675617080,3.64,1006.35,green,-93455.68
Sun Feb  5 20:12:13 2023,1675617112,2.75,1044.98,green,-92410.7
Sun Feb  5 20:12:50 2023,1675617140,4.84,-717.45,green,-93128.15
Sun Feb  5 20:13:31 2023,1675617177,5.90,-1455.51,green,-94583.66
Sun Feb  5 20:13:53 2023,1675617217,1.79,2150.04,red,-92433.62
Sun Feb  5 20:14:14 2023,1675617238,2.00,1935.21,green,-90498.41
Sun Feb  5 20:14:51 2023,1675617260,4.76,-2235.46,green,-92733.87
Sun Feb  5 20:15:11 2023,1675617297,1.77,3528.11,red,-89205.76
Sun Feb  5 20:15:32 2023,1675617317,1.74,3776.89,red,-85428.87
Sun Feb  5 20:16:46 2023,1675617337,42.83,-13560.83,purple,-98989.7
Sun Feb  5 20:16:59 2023,1675617410,1.18,2837.5,red,-96152.2
Sun Feb  5 20:17:11 2023,1675617424,1.11,2401.88,red,-93750.32
Sun Feb  5 20:18:01 2023,1675617437,11.23,-11147.68,purple,-104898.0
Sun Feb  5 20:18:16 2023,1675617488,1.25,1849.85,red,-103048.15
Sun Feb  5 20:18:27 2023,1675617502,1.04,1519.0,red,-101529.15
Sun Feb  5 20:18:44 2023,1675617514,1.42,1866.0,red,-99663.15
Sun Feb  5 20:20:30 2023,1675617530,297.55,-6184.95,purple,-105848.1
Sun Feb  5 20:20:54 2023,1675617636,2.23,1319.78,green,-104528.32
Sun Feb  5 20:21:34 2023,1675617660,5.80,-4831.69,green,-109360.01
Sun Feb  5 20:23:48 2023,1675617700,1457.11,-10109.43,purple,-119469.44
Sun Feb  5 20:24:09 2023,1675617832,1.84,2308.59,red,-117160.85
Sun Feb  5 20:24:19 2023,1675617853,1.08,3070.0,red,-114090.85
Sun Feb  5 20:24:47 2023,1675617865,2.80,198.54,green,-113892.31
Sun Feb  5 20:25:00 2023,1675617893,1.09,3377.41,red,-110514.9
Sun Feb  5 20:25:26 2023,1675617906,2.53,1974.4,green,-108540.5
Sun Feb  5 20:25:44 2023,1675617932,1.46,2316.62,red,-106223.88
Sun Feb  5 20:26:07 2023,1675617949,2.26,752.3,green,-105471.58
Sun Feb  5 20:26:42 2023,1675617973,4.16,-172.24,green,-105643.82
Sun Feb  5 20:27:02 2023,1675618008,1.72,3377.18,red,-102266.64
Sun Feb  5 20:27:23 2023,1675618028,1.86,2948.06,red,-99318.58
Sun Feb  5 20:28:29 2023,1675618049,27.56,-16451.52,purple,-115770.1
Sun Feb  5 20:28:47 2023,1675618115,1.50,3108.34,red,-112661.76
Sun Feb  5 20:29:04 2023,1675618133,1.40,2725.9,red,-109935.86
Sun Feb  5 20:29:21 2023,1675618149,1.51,2285.13,red,-107650.73
Sun Feb  5 20:29:49 2023,1675618167,2.58,2336.85,green,-105313.88
Sun Feb  5 20:30:06 2023,1675618193,1.50,2767.09,red,-102546.79
Sun Feb  5 20:30:31 2023,1675618211,2.57,1437.74,green,-101109.05
Sun Feb  5 20:30:48 2023,1675618237,1.41,3033.33,red,-98075.72
Sun Feb  5 20:31:17 2023,1675618254,3.06,2227.62,green,-95848.1
Sun Feb  5 20:31:28 2023,1675618283,1.01,2661.0,red,-93187.1
Sun Feb  5 20:31:59 2023,1675618294,3.30,-646.23,green,-93833.33
Sun Feb  5 20:32:11 2023,1675618325,1.10,2409.96,red,-91423.37
