Sun Feb  5 11:47:21 2023,1675586793,4.27,-1706.88,-1706.88
Sun Feb  5 11:47:21 2023,1675586828,1.61,1689.54,-17.34
Sun Feb  5 11:47:36 2023,1675586847,1.17,1672.0,1654.66
Sun Feb  5 11:47:47 2023,1675586861,1.07,1670.0,3324.66
Sun Feb  5 11:48:17 2023,1675586872,3.27,-675.76,2648.9
Sun Feb  5 11:48:47 2023,1675586903,2.96,1790.0,4438.9
Sun Feb  5 11:49:22 2023,1675586932,4.61,-979.71,3459.19
Sun Feb  5 11:49:46 2023,1675586968,2.10,2014.87,5474.06
Sun Feb  5 11:50:02 2023,1675586991,1.39,2109.39,7583.45
Sun Feb  5 11:50:18 2023,1675587008,1.37,1611.7,9195.15
Sun Feb  5 11:50:29 2023,1675587024,1.00,1812.0,11007.15
Sun Feb  5 11:50:56 2023,1675587034,2.67,1535.8,12542.95
Sun Feb  5 11:51:09 2023,1675587061,1.13,2594.6,15137.55
Sun Feb  5 11:51:53 2023,1675587074,7.41,-834.8,14302.75
Sun Feb  5 11:52:18 2023,1675587118,2.39,591.3,14894.05
Sun Feb  5 11:52:29 2023,1675587144,1.00,2865.2,17759.25
Sun Feb  5 11:53:44 2023,1675587155,46.67,-16818.11,941.14
Sun Feb  5 11:54:09 2023,1675587229,2.33,2227.94,3169.08
Sun Feb  5 11:54:19 2023,1675587254,1.00,1704.21,4873.29
Sun Feb  5 11:54:49 2023,1675587265,3.16,893.21,5766.5
Sun Feb  5 11:55:13 2023,1675587295,2.13,808.75,6575.25
Sun Feb  5 11:55:23 2023,1675587318,1.00,1247.31,7822.56
Sun Feb  5 11:55:51 2023,1675587329,2.70,620.15,8442.71
Sun Feb  5 11:56:13 2023,1675587356,2.01,677.12,9119.83
Sun Feb  5 11:56:33 2023,1675587379,1.76,2018.0,11137.83
Sun Feb  5 11:56:46 2023,1675587399,1.08,3076.52,14214.35
Sun Feb  5 11:57:53 2023,1675587411,29.51,-11522.14,2692.21
Sun Feb  5 11:58:33 2023,1675587478,6.04,-4511.58,-1819.37
Sun Feb  5 11:59:01 2023,1675587519,2.62,-415.79,-2235.16
Sun Feb  5 11:59:13 2023,1675587546,1.15,1856.37,-378.79
Sun Feb  5 11:59:39 2023,1675587559,2.40,334.86,-43.93
Sun Feb  5 12:00:02 2023,1675587584,2.05,1477.38,1433.45
Sun Feb  5 12:00:18 2023,1675587607,1.34,3636.15,5069.6
Sun Feb  5 12:00:31 2023,1675587623,1.17,2532.15,7601.75
Sun Feb  5 12:00:46 2023,1675587636,1.33,2306.0,9907.75
Sun Feb  5 12:01:03 2023,1675587652,1.41,2351.0,12258.75
Sun Feb  5 12:01:25 2023,1675587668,2.04,1520.0,13778.75
Sun Feb  5 12:01:43 2023,1675587691,1.55,1635.0,15413.75
Sun Feb  5 12:01:56 2023,1675587709,1.10,1695.0,17108.75
Sun Feb  5 12:02:10 2023,1675587721,1.19,2100.0,19208.75
Sun Feb  5 12:02:27 2023,1675587735,1.33,2200.0,21408.75
Sun Feb  5 12:02:41 2023,1675587751,1.35,2197.5,23606.25
Sun Feb  5 12:02:55 2023,1675587766,1.23,2100.0,25706.25
Sun Feb  5 12:03:26 2023,1675587781,3.38,1229.5,26935.75
Sun Feb  5 12:03:39 2023,1675587812,1.13,951.0,27886.75
Sun Feb  5 12:03:51 2023,1675587824,1.09,943.0,28829.75
Sun Feb  5 12:04:19 2023,1675587837,2.82,480.0,29309.75
Sun Feb  5 12:06:12 2023,1675587865,454.48,-3770.0,25539.75
Sun Feb  5 12:06:33 2023,1675587977,1.93,2038.0,27577.75
Sun Feb  5 12:06:51 2023,1675587999,1.44,2732.5,30310.25
Sun Feb  5 12:07:08 2023,1675588016,1.52,2456.0,32766.25
Sun Feb  5 12:07:44 2023,1675588034,4.50,-224.65,32541.6
Sun Feb  5 12:08:16 2023,1675588070,3.69,-301.61,32239.99
Sun Feb  5 12:09:01 2023,1675588102,7.50,-6485.15,25754.84
Sun Feb  5 12:09:13 2023,1675588147,1.06,1601.21,27356.05
Sun Feb  5 12:09:48 2023,1675588158,4.32,1359.44,28715.49
Sun Feb  5 12:10:00 2023,1675588193,1.11,1542.21,30257.7
Sun Feb  5 12:10:23 2023,1675588206,2.03,3112.54,33370.24
Sun Feb  5 12:11:07 2023,1675588229,7.35,-6362.28,27007.96
Sun Feb  5 12:11:33 2023,1675588273,2.54,1098.66,28106.62
Sun Feb  5 12:12:02 2023,1675588299,2.87,1096.17,29202.79
Sun Feb  5 12:12:23 2023,1675588327,1.83,2247.87,31450.66
Sun Feb  5 12:12:55 2023,1675588348,3.59,2060.2,33510.86
Sun Feb  5 12:13:15 2023,1675588380,1.78,2274.08,35784.94
Sun Feb  5 12:13:33 2023,1675588401,1.61,1957.75,37742.69
Sun Feb  5 12:14:17 2023,1675588419,7.14,-5513.6,32229.09
Sun Feb  5 12:14:33 2023,1675588463,1.39,1777.68,34006.77
Sun Feb  5 12:14:49 2023,1675588479,1.38,1699.4,35706.17
Sun Feb  5 12:15:07 2023,1675588495,1.46,1537.11,37243.28
Sun Feb  5 12:15:22 2023,1675588512,1.30,1685.15,38928.43
Sun Feb  5 12:15:43 2023,1675588527,1.87,1739.29,40667.72
Sun Feb  5 12:16:01 2023,1675588549,1.58,1543.84,42211.56
Sun Feb  5 12:17:29 2023,1675588567,101.08,-9603.89,32607.67
Sun Feb  5 12:17:58 2023,1675588655,3.06,-249.43,32358.24
Sun Feb  5 12:18:14 2023,1675588684,1.34,1236.21,33594.45
Sun Feb  5 12:18:34 2023,1675588700,1.72,1282.09,34876.54
Sun Feb  5 12:19:21 2023,1675588720,8.54,-4544.21,30332.33
Sun Feb  5 12:20:07 2023,1675588766,8.80,-9080.93,21251.4
Sun Feb  5 12:20:23 2023,1675588813,1.26,3930.69,25182.09
Sun Feb  5 12:20:53 2023,1675588828,3.30,1270.75,26452.84
Sun Feb  5 12:21:20 2023,1675588858,2.68,1292.77,27745.61
Sun Feb  5 12:21:50 2023,1675588886,3.21,1922.92,29668.53
Sun Feb  5 12:22:18 2023,1675588916,2.80,1793.64,31462.17
Sun Feb  5 12:22:32 2023,1675588944,1.19,2671.19,34133.36
Sun Feb  5 12:22:44 2023,1675588957,1.07,2231.07,36364.43
Sun Feb  5 12:23:07 2023,1675588969,2.13,2140.52,38504.95
Sun Feb  5 12:23:32 2023,1675588993,2.32,1571.86,40076.81
Sun Feb  5 12:23:58 2023,1675589018,2.52,1610.02,41686.83
Sun Feb  5 12:24:19 2023,1675589044,1.87,3153.57,44840.4
Sun Feb  5 12:24:30 2023,1675589065,1.03,3379.76,48220.16
Sun Feb  5 12:24:41 2023,1675589076,1.01,3307.0,51527.16
Sun Feb  5 12:25:04 2023,1675589087,1.98,3301.15,54828.31
Sun Feb  5 12:25:21 2023,1675589109,1.45,2308.99,57137.3
Sun Feb  5 12:25:36 2023,1675589126,1.30,2146.69,59283.99
Sun Feb  5 12:26:21 2023,1675589141,7.62,-4084.2,55199.79
Sun Feb  5 12:26:37 2023,1675589186,1.35,2505.5,57705.29
Sun Feb  5 12:27:44 2023,1675589202,30.98,-14481.0,43224.29
Sun Feb  5 12:28:13 2023,1675589270,2.93,1940.46,45164.75
Sun Feb  5 12:28:34 2023,1675589299,1.79,1751.89,46916.64
Sun Feb  5 12:28:45 2023,1675589319,1.02,2405.0,49321.64
Sun Feb  5 12:29:07 2023,1675589330,1.99,1785.24,51106.88
Sun Feb  5 12:29:26 2023,1675589352,1.65,1717.4,52824.28
Sun Feb  5 12:29:48 2023,1675589372,1.91,1709.2,54533.48
Sun Feb  5 12:30:16 2023,1675589393,2.91,217.4,54750.88
Sun Feb  5 12:30:31 2023,1675589422,1.27,1464.1,56214.98
Sun Feb  5 12:30:45 2023,1675589436,1.17,1369.8,57584.78
Sun Feb  5 12:31:11 2023,1675589450,2.54,1289.1,58873.88
Sun Feb  5 12:31:23 2023,1675589476,1.13,1842.0,60715.88
Sun Feb  5 12:31:36 2023,1675589489,1.11,2022.0,62737.88
Sun Feb  5 12:31:47 2023,1675589501,1.05,1991.0,64728.88
Sun Feb  5 12:32:36 2023,1675589513,9.58,-10240.06,54488.82
Sun Feb  5 12:33:19 2023,1675589561,6.80,-31.13,54457.69
Sun Feb  5 12:33:46 2023,1675589604,2.67,2274.14,56731.83
Sun Feb  5 12:34:00 2023,1675589631,1.27,2573.76,59305.59
Sun Feb  5 12:34:13 2023,1675589646,1.07,2050.76,61356.35
Sun Feb  5 12:34:34 2023,1675589658,1.96,2864.07,64220.42
Sun Feb  5 12:34:50 2023,1675589680,1.29,2207.28,66427.7
Sun Feb  5 12:35:16 2023,1675589695,2.54,1007.6,67435.3
Sun Feb  5 12:35:37 2023,1675589721,1.64,3200.0,70635.3
Sun Feb  5 12:35:50 2023,1675589740,1.35,2178.0,72813.3
Sun Feb  5 12:36:13 2023,1675589756,2.06,1190.0,74003.3
Sun Feb  5 12:36:29 2023,1675589779,1.35,1253.0,75256.3
Sun Feb  5 12:36:48 2023,1675589795,1.58,862.94,76119.24
Sun Feb  5 12:37:50 2023,1675589813,21.97,-5248.6,70870.64
Sun Feb  5 12:38:03 2023,1675589875,1.20,1445.0,72315.64
Sun Feb  5 12:38:43 2023,1675589889,5.79,46.4,72362.04
Sun Feb  5 12:39:05 2023,1675589929,1.80,1143.0,73505.04
Sun Feb  5 12:39:54 2023,1675589950,10.93,-5921.8,67583.24
Sun Feb  5 12:40:21 2023,1675590000,2.45,500.6,68083.84
